State,Accident,Alzheimers,Cancer,Cvascular,Resp.,Liver,Diabetes,Heart,Homicide,Influenza,Kidney,Pneumonia,Septc.,Suicide
AL,55.2,46.1,166.9,51.8,56,13.6,20.5,225.1,12.9,1.5,16.9,17,17,16.2
AK,62.3,26,146.8,37.1,35,16.7,19.7,136.1,9.4,2.1,10,8.2,8.3,26.5
AZ,58.6,33.8,132.3,30.9,40.2,14.9,23.9,139.1,6.7,1.6,7.1,9.4,4.8,18.2
AR,51.6,40.9,169.7,42.9,61.6,12.7,30.8,222.2,10.4,2.2,18.6,15.7,12.9,18.9
CA,35.8,37.7,135.1,37.7,30.7,12.6,22.5,141.8,5.4,1.6,9,12.5,3.6,10.5
CO,53.9,34,130,35.2,43.3,14.5,16.9,127,5.2,1.8,8.4,7.1,7.6,21.3
CT,55.1,19.5,136.3,27.2,28.3,9.3,15.4,141.4,3.4,1.7,11.8,10.4,11.9,10.3
DE,65.6,30.5,158.1,46.6,38.3,9,19.9,158.8,7.6,1.5,15.4,10.7,9.3,11.6
DC,61.9,14.6,149.5,37.2,20.9,8,20.7,187.3,19.4,1.1,7.9,10.2,10.5,6.1
FL,57.4,19.9,141.4,39.9,36.3,11.8,20.3,143.3,7,1,9.8,8.2,7.9,14.1
GA,45.1,45.3,153.4,43.4,44.6,10.2,21.9,178.4,8.7,1.2,18.5,12.4,15.3,14
HI,37.3,20.1,125.7,36.7,18.2,7.4,15.9,124.4,3.1,1.4,10.2,19.5,6.5,13.5
ID,50.3,35.6,145.9,37,45.1,12.1,20.8,157.7,2.7,2.5,8.9,8.9,5.5,22.4
IL,45.5,25.9,155.3,39,36.2,9.8,19.4,165,9.2,1.4,16.7,13.6,11.4,10.9
IN,57.7,34,166.9,40.3,55.5,12.4,26.7,181.7,8,2,17.9,10.9,14.9,15.4
IA,43.4,31.8,154.2,32.4,44.5,9.7,22.1,167.9,3.1,2.4,9.3,10.8,7.8,16
KS,48.6,23.6,155.6,36.7,48.5,11,24.4,161.9,6,2.8,15,12,9.3,18.5
KY,73.4,33.4,182.8,41.4,62.3,13.7,28.2,199.6,7.5,2.3,18.5,14.8,17.2,17.1
LA,63.4,43.6,168.3,46.2,42.6,9.8,27.2,213.6,15.4,1.5,20.5,12.8,20,14.7
ME,67.9,28.3,164.8,33.9,46.1,11,22.9,145.1,1.8,2.4,12.1,11.3,4.9,17.7
MD,37.7,16,148.9,41,29.7,7.5,20.8,163.9,10.4,1.3,11.1,12,12.3,9.8
MA,52.9,18.9,143.3,26.5,30.8,9.4,15.7,131,2.5,1.8,13.4,12.9,10.3,9
MI,52.4,34.8,160.6,40.6,43.7,11.5,22.8,198.5,6.9,1.7,14.7,12.2,9.7,14.1
MN,45.9,34.1,144,32.5,33.8,10.4,19.6,117.7,2.9,1.9,8,6.7,6.3,13.5
MS,60.8,50,181,52.1,59.4,12.9,33.9,232.1,15,1.5,22.2,22.6,14.4,14
MO,61.2,32.8,163.1,39.6,49.3,10.1,21.2,190.7,11.6,2.3,19.5,13.3,11.3,18.5
MT,54.6,22.5,144.6,31.7,49.3,15.2,21.6,159,5.3,2.6,10.3,8.1,7.8,26.3
NE,39.3,28.9,150.6,32.8,48,11,24.5,144.9,3.2,2.3,10,12.3,7,14.4
NV,48.1,25.4,150.7,37.8,49.8,13.7,20.7,200,7.6,1.2,8.9,14.9,5.8,20.1
NH,62.3,26.1,150.7,28.6,39.2,10.7,18.6,148.3,1.9,2,10,9.9,7.4,17.7
NJ,47.7,22.2,141,30.5,27.2,7.9,17.8,162.6,4.1,1,14.1,10.9,17.2,7.8
NM,74.1,23.5,135.1,34.1,42.7,27.4,26.9,152.6,11.1,1.9,12.4,11.9,9.3,23.7
NY,35.9,13.5,137.1,24.5,27.7,7.2,18.2,173.5,3.6,1.3,9.6,16.4,8.1,8.2
NC,57.4,37.5,154.5,42.7,42.6,11,24.5,155.9,7.4,2,16.5,13.7,12.5,13.3
ND,44.8,36.1,142,33,35.5,13.9,22,142,2.9,1.9,11.7,13,9.4,19
OH,70.3,34.7,166.1,42.7,47.2,11.2,25.8,189.6,7.5,1.7,14.6,12.6,13.5,14.6
OK,61.9,37.9,175.2,40.9,62.7,15.6,30.2,233.8,8.4,2.2,11.1,12.1,9.5,20.5
OR,46.5,36.5,150.6,39.4,37.8,13.4,23.7,133.3,3.4,2.8,7.5,6.5,4.7,18.9
PA,64.8,21.6,157.3,36.1,35.2,8.7,21.1,174.9,6.8,1.6,15.8,12.5,13.1,14.2
RI,59.7,28.9,151.6,27.6,32.5,12,18.9,155.5,2.2,2.2,10.3,9.6,7,10.4
SC,64.6,42.7,158.6,44.4,45.5,13.2,24.9,169.6,10.5,2,15.4,10.3,14.4,15.9
SD,53.6,38.2,153,34.9,42.3,19.2,25.8,155.3,5,2.4,6.5,14.6,9.7,20.8
TN,68.5,44.4,170.4,44,54.6,13.7,25.8,204,9.7,2.1,13.8,17.3,11.3,16.8
TX,39.9,40.1,144.5,41,39.2,14.3,22.8,170.1,6.3,1.5,15.7,10.4,14,13.3
UT,45.8,41.4,120.6,36.2,33.2,9.4,24.9,150.8,2.9,1.9,14.2,10.8,7.9,21.7
VT,59.8,36.8,156.2,29.3,39.8,8.9,18.1,156.7,2.5,2.3,3.1,5.4,4.1,17.6
VA,45.2,27.5,149.7,38.7,34.7,9.9,22.5,151,5.6,1.4,16.4,10.9,11.5,13.3
WA,44.5,43.8,145.7,35.6,34.8,12.1,21.2,136.6,3.9,2.5,5.1,8,6.5,15.7
WV,100,32,177.5,39.5,62.2,14.8,36.3,193.6,6.6,2.4,18.5,15.6,14.3,19.9
WI,60.7,31.5,152.5,33.9,37.6,10.3,20.4,158.8,4.8,2,12.3,9.7,7.8,14.7
WY,59.8,32.4,138,30.8,53.3,19.3,19.1,153.6,4.3,2,8.9,13.5,5.9,27.3
